LAMMPS Atom File

          768 atoms
          512 bonds
          256 angles
            0 dihedrals
            0 impropers

        2 atom types
        1 bond types
        1 angle types

     0.00000   20.60000  xlo xhi
     0.00000   20.60000  ylo yhi
     0.00000   20.60000  zlo zhi

Masses

	1	15.9994
	2	1.00794

Atoms

    109   37  1 -0.8476     15.761  16.621   3.070
    110   37  2  0.4238     16.651  17.081   3.100
    111   37  2  0.4238     15.551  16.381   2.120
    112   38  1 -0.8476      8.070   6.050  14.651
    113   38  2  0.4238      7.600   6.020  15.541
    114   38  2  0.4238      7.560   5.500  13.991
    115   39  1 -0.8476     13.941   4.690  16.741
    116   39  2  0.4238     13.741   5.120  17.621
    117   39  2  0.4238     14.721   4.070  16.831
    118   40  1 -0.8476      9.731   8.900  15.721
    119   40  2  0.4238     10.191   8.060  15.431
    120   40  2  0.4238      9.171   9.240  14.971
    121   41  1 -0.8476      9.911   4.100  12.421
    122   41  2  0.4238      9.141   4.440  12.961
    123   41  2  0.4238      9.571   3.590  11.631
    124   42  1 -0.8476     10.411   7.010   4.290
    125   42  2  0.4238     10.671   6.970   5.250
    126   42  2  0.4238      9.561   6.500   4.150
    127   43  1 -0.8476      1.300  18.211  15.711
    128   43  2  0.4238      1.200  18.061  16.701
    129   43  2  0.4238      0.440  18.571  15.351
    130   44  1 -0.8476      8.650   3.480   1.950
    131   44  2  0.4238      9.240   4.110   1.460
    132   44  2  0.4238      8.840   2.540   1.660
    133   45  1 -0.8476     17.191   5.850  18.311
    134   45  2  0.4238     16.931   6.740  17.951
    135   45  2  0.4238     17.171   5.170  17.581
    136   46  1 -0.8476     13.621  11.441   5.450
    137   46  2  0.4238     14.451  11.151   4.970
    138   46  2  0.4238     13.131  12.111   4.890
    139   47  1 -0.8476      5.500   1.960   8.850
    140   47  2  0.4238      5.450   1.910   9.850
    141   47  2  0.4238      5.520   2.920   8.560
    142   48  1 -0.8476     10.081  14.561   4.770
    143   48  2  0.4238      9.621  15.281   4.250
    144   48  2  0.4238     10.041  14.761   5.750
    145   49  1 -0.8476      3.510  18.011   8.530
    146   49  2  0.4238      4.010  17.151   8.590
    147   49  2  0.4238      4.160  18.781   8.500
    148   50  1 -0.8476     17.951  10.661   8.730
    149   50  2  0.4238     17.331  10.511   7.970
    150   50  2  0.4238     17.431  10.771   9.580
    151   51  1 -0.8476     12.271  15.501  15.061
    152   51  2  0.4238     12.331  14.731  15.701
    153   51  2  0.4238     11.751  15.241  14.261
    154   52  1 -0.8476      3.210   9.431   2.420
    155   52  2  0.4238      4.030   9.821   2.000
    156   52  2  0.4238      2.940   8.611   1.930
    157   53  1 -0.8476     14.581   7.350   7.280
    158   53  2  0.4238     14.531   6.700   8.030
    159   53  2  0.4238     15.381   7.940   7.410
    160   54  1 -0.8476      4.610  12.661  17.271
    161   54  2  0.4238      4.110  12.671  16.411
    162   54  2  0.4238      3.980  12.481  18.031
    163   55  1 -0.8476     11.111  17.761   2.370
    164   55  2  0.4238     10.511  17.141   2.870
    165   55  2  0.4238     11.421  17.321   1.520
    166   56  1 -0.8476      2.020   2.850  14.981
    167   56  2  0.4238      1.220   3.450  14.851
    168   56  2  0.4238      1.920   2.360  15.841
    169   57  1 -0.8476     16.321  13.771   0.810
    170   57  2  0.4238     16.001  14.711   0.710
    171   57  2  0.4238     15.561  13.141   0.690
    172   58  1 -0.8476      4.640  17.431   3.230
    173   58  2  0.4238      4.970  17.821   4.090
    174   58  2  0.4238      5.400  17.361   2.580
    175   59  1 -0.8476     14.001   1.070   4.260
    176   59  2  0.4238     13.761   0.700   3.360
    177   59  2  0.4238     14.991   1.230   4.300
    178   60  1 -0.8476      2.490  17.851  12.411
    179   60  2  0.4238      3.060  17.201  12.911
    180   60  2  0.4238      2.330  17.521  11.481
    181   61  1 -0.8476      9.401  16.981   9.040
    182   61  2  0.4238     10.201  16.411   9.250
    183   61  2  0.4238      8.911  16.581   8.270
    184   62  1 -0.8476      3.820   7.000   4.800
    185   62  2  0.4238      4.270   6.100   4.770
    186   62  2  0.4238      2.880   6.890   5.130
    187   63  1 -0.8476     15.471   2.220  17.291
    188   63  2  0.4238     15.421   2.590  18.211
    189   63  2  0.4238     14.751   1.530  17.171
    190   64  1 -0.8476      6.140   1.220   1.170
    191   64  2  0.4238      7.120   1.000   1.240
    192   64  2  0.4238      5.830   1.050   0.240
    193   65  1 -0.8476      7.810   2.640  17.491
    194   65  2  0.4238      8.480   2.030  17.921
    195   65  2  0.4238      7.080   2.830  18.141
    196   66  1 -0.8476      8.880  15.141  11.951
    197   66  2  0.4238      8.650  14.891  11.011
    198   66  2  0.4238      9.490  14.451  12.341
    199   67  1 -0.8476     13.511   5.900  14.331
    200   67  2  0.4238     13.791   5.470  15.181
    201   67  2  0.4238     13.761   6.860  14.341
    202   68  1 -0.8476      8.030  14.021   9.240
    203   68  2  0.4238      8.930  14.161   8.820
    204   68  2  0.4238      7.320  14.041   8.530
    205   69  1 -0.8476      9.220   5.030   8.990
    206   69  2  0.4238      8.970   4.940   8.030
    207   69  2  0.4238      9.700   4.210   9.300
    208   70  1 -0.8476      5.390   0.640   5.120
    209   70  2  0.4238      4.580   0.650   5.700
    210   70  2  0.4238      5.420   1.470   4.570
    211   71  1 -0.8476     14.341  11.881   0.410
    212   71  2  0.4238     14.661  11.121   0.980
    213   71  2  0.4238     13.421  12.151   0.710
    214   72  1 -0.8476      2.970   0.350   1.710
    215   72  2  0.4238      3.460   1.190   1.500
    216   72  2  0.4238      3.590  -0.300   2.160
    217   73  1 -0.8476      9.351   2.360   4.800
    218   73  2  0.4238      8.871   2.770   4.020
    219   73  2  0.4238     10.341   2.340   4.610
    220   74  1 -0.8476     10.761   6.830  14.641
    221   74  2  0.4238      9.961   6.220  14.671
    222   74  2  0.4238     11.571   6.300  14.401
    223   75  1 -0.8476     12.271  15.701   7.930
    224   75  2  0.4238     12.481  16.441   7.280
    225   75  2  0.4238     12.951  15.701   8.660
    226   76  1 -0.8476      4.590  11.521   7.410
    227   76  2  0.4238      3.880  11.251   8.060
    228   76  2  0.4238      4.330  11.241   6.480
    229   77  1 -0.8476     12.711  17.971   5.910
    230   77  2  0.4238     13.151  18.611   5.270
    231   77  2  0.4238     12.211  18.491   6.610
